name,label,sub_class,dynamic_state,cyclic_uid,age,world_width,world_height,lat_dist,long_dist,vert_dist,rel_vel_x,rel_acc_x,rel_vel_z,rel_acc_z,abs_vel_x,abs_acc_x,abs_vel_z,abs_acc_z,POS_LEFT_x,POS_LEFT_z,POS_CENTER_x,POS_CENTER_z,POS_RIGHT_x,POS_RIGHT_z,POS_DISTANT_x,POS_DISTANT_z,lane_association,conf,is_cipv,uid,eba_bitmask,vacc_quality,x_center,y_center,d3_separation,width,height,sf_confirmed,class_right_id,class_left_id,score,is_occluded,side_occlusion_type,permissive_side_occlusion_type,x_l,y_lt,y_lb,x_s,y_st,y_sb,x_r,y_rt,y_rb,matching_radar_cluster_top_left_x,matching_radar_cluster_top_left_z,matching_radar_cluster_width,matching_radar_cluster_height,matching_radar_cluster_is_static,matching_radar_cluster_center_x,matching_radar_cluster_center_z,update_type,reaction_profile,tracked_vel_x,tracked_vel_z,rc_raw_meas_x,rc_raw_meas_z,rc_tracked_pos_x,rc_tracked_pos_z,rc_tracked_vel_x,rc_tracked_vel_z,rc_tracked_acc_x,rc_tracked_acc_z,fd_raw_meas_x,fd_raw_meas_z,fd_tracked_pos_x,fd_tracked_pos_z,fd_tracked_vel_x,fd_tracked_vel_z,fd_tracked_acc_x,fd_tracked_acc_z,rc_weight_pos,rc_weight_kinematics,of_ittc_z,of_rel_vel_z,width_est,orientation,sf_orientation,cametra_origin,debug_field_0,debug_field_1,debug_field_2,Unnamed: 92
1690794336500167,2,1,0,7,16,1.79,1.27,12.85,40.89,0.25,0.87,0.03,8.71,0.17,0.69,0.03,14.48,0.42,11.19,44.95,12.55,40.9,14.25,41.47,12.89,45.52,0,0.0,0,7,0x1800,100,2398.64,1067.15,2417.55,175.88,58.63,1,2,1,83.481125,1,3,3,2310.701172,1038.762085,1092.431519,2417.553467,1037.833374,1096.464966,2486.584473,1037.836182,1095.616089,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,0.69,8.76,14.53,51.67,14.53,51.67,0.69,8.76,0.03,0.17,13.29,47.12,12.85,40.85,0.69,8.76,0.03,0.17,0.0,0.0,0.0,0.0,0,-0.323583,-0.473864,0,0.0,0.0,0.0,
1690794337000148,2,1,1,2,31,1.79,1.39,5.14,3.55,-0.02,-0.02,-0.0,-0.98,0.24,-0.04,-0.0,4.89,0.4,6.32,7.77,5.82,3.53,7.6,3.32,8.1,7.56,0,0.0,0,0,0x800,100,3889.72,1270.91,3938.85,1524.82,502.14,1,1,1,96.502029,0,0,0,3127.313965,1027.62793,1311.441406,3938.845459,1019.844727,1521.984009,4652.129883,1018.326416,1533.443359,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,-0.04,-0.95,5.14,3.55,5.14,3.54,-0.04,-0.95,-0.0,0.24,5.14,3.55,5.14,3.54,-0.08,-1.16,-0.0,0.25,0.997527,0.997527,0.0,0.0,0,0.118595,0.11829,0,0.0,0.0,0.0,
1690794337000148,2,1,0,0,31,1.74,1.51,0.43,8.81,0.1,0.02,-0.0,0.11,0.13,-0.03,-0.0,5.96,0.28,-0.44,8.78,1.3,8.78,1.3,13.05,-0.44,13.05,1,0.91,1,1,0x0,100,1916.68,1128.47,1752.35,328.67,285.45,1,2,2,97.057648,1,1,1,1752.348999,985.746094,1271.195801,1752.348999,985.746094,1271.195801,2081.019531,985.564819,1269.138184,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,-0.03,0.12,0.43,8.86,0.43,8.81,-0.03,0.12,-0.0,0.13,0.44,9.09,0.44,9.06,-0.04,0.11,-0.0,0.11,0.996611,0.996611,0.00028,0.088922,1,0.00109,0.0,0,0.0,0.0,0.0,
1690794337000148,2,1,1,8,31,1.79,1.34,8.97,11.9,-0.07,-0.08,-0.01,-2.38,0.22,-0.14,-0.01,3.51,0.38,9.55,16.14,9.58,11.87,11.37,11.88,11.34,16.15,0,0.0,0,3,0x800,100,3163.97,1139.94,3201.5,566.92,191.36,1,2,1,92.762596,0,0,0,2880.512695,1042.859619,1189.560669,3201.501953,1044.26001,1235.615234,3447.437012,1043.819458,1234.076172,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,1,-0.14,-2.34,8.58,11.3,8.56,11.28,-0.21,-2.41,-0.01,0.21,9.69,13.0,9.69,12.99,-0.02,-2.21,0.0,0.25,0.63895,0.63895,0.0,0.0,0,-0.005136,-0.008974,0,0.0,0.0,0.0,
1690794337000148,2,1,1,6,31,1.45,1.48,8.66,20.01,-0.03,-0.25,-0.02,-3.47,0.22,-0.35,-0.02,2.42,0.38,8.68,23.48,8.58,20.02,10.03,19.97,10.13,23.43,0,0.0,0,4,0x800,100,2628.07,1092.6,2611.09,226.86,133.71,1,2,1,93.806732,1,1,1,2514.644287,1027.415649,1143.049316,2611.094971,1025.745239,1159.459595,2741.50415,1025.543091,1159.176758,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.35,-3.42,8.69,19.74,8.69,19.74,-0.35,-3.42,-0.02,0.22,8.62,19.57,8.66,20.04,-0.35,-3.42,-0.02,0.22,0.068351,0.068351,0.0,0.0,0,0.030908,0.021213,0,0.0,0.0,0.0,
1690794337000148,2,1,0,4,31,1.77,1.72,7.62,23.8,-0.35,0.25,0.01,1.02,0.27,0.12,0.01,6.9,0.42,7.23,28.04,7.3,23.81,9.08,23.84,9.0,28.07,0,0.0,0,2,0x800,100,2426.04,1100.31,2401.08,218.81,132.79,1,2,1,94.585129,0,0,0,2316.64209,1034.526367,1148.64917,2401.075684,1033.913574,1166.706177,2535.447754,1033.71167,1165.979614,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,0.12,1.06,6.08,18.61,6.08,18.61,0.12,1.06,0.01,0.27,7.67,23.95,7.73,24.16,0.12,1.06,0.01,0.27,0.065215,0.065215,0.0,0.0,1,-0.017752,-0.015184,0,0.0,0.0,0.0,
1690794337000148,0,3,0,10,31,0.82,1.58,14.43,28.61,-0.12,0.06,-0.0,-2.85,-0.19,-0.1,-0.0,3.07,-0.03,13.91,28.63,14.74,28.6,14.74,28.61,13.91,28.64,0,0.0,0,10,0x0,100,2761.45,1079.31,2735.02,53.38,102.14,1,-1,-1,66.823105,0,0,0,2734.759277,1028.241943,1130.349121,2735.023682,1028.23877,1130.378906,2788.136719,1028.153564,1130.293457,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,2,2,-0.1,-2.77,13.3,26.45,12.57,24.86,-1.07,-4.54,-0.0,-0.19,15.4,30.9,14.68,29.12,0.03,-2.53,-0.0,-0.19,0.117143,0.117143,0.0,0.0,0,0.001248,0.0,0,0.0,0.0,0.0,
1690794337000148,2,1,0,1,31,1.32,1.47,3.83,28.66,-0.14,0.03,-0.01,1.43,0.24,-0.12,-0.01,7.29,0.4,3.21,28.77,4.52,28.63,4.97,32.88,3.65,33.02,0,0.0,0,5,0x800,100,2088.63,1085.6,2045.3,86.82,95.67,1,2,2,90.690079,1,1,1,2045.221924,1037.776367,1121.765625,2045.295654,1037.760742,1133.431274,2132.043701,1037.621338,1133.557251,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.12,1.45,3.39,25.0,3.39,25.0,-0.12,1.45,-0.01,0.24,3.81,28.31,3.84,28.7,-0.12,1.45,-0.01,0.24,0.009017,0.009017,0.0,0.0,0,0.104233,0.104233,0,0.0,0.0,0.0,
1690794337000148,2,1,0,3,31,1.54,1.44,6.08,29.64,-0.0,0.16,0.0,-0.04,0.25,0.0,0.0,5.83,0.41,5.6,33.33,5.56,29.66,7.1,29.64,7.14,33.31,0,0.0,0,6,0x800,100,2218.64,1076.06,2187.35,130.4,90.9,1,2,1,93.195953,1,2,2,2153.439941,1031.397705,1112.854004,2187.351807,1030.612183,1121.513428,2283.843262,1030.466919,1121.246094,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,0.0,-0.01,6.08,29.8,6.08,29.8,0.0,-0.01,0.0,0.25,6.1,29.88,6.08,29.64,0.0,-0.01,0.0,0.25,0.006849,0.006849,0.0,0.0,0,0.012433,0.006002,0,0.0,0.0,0.0,
1690794337000148,2,1,1,5,31,1.16,1.45,9.1,37.95,0.0,0.08,-0.01,-1.43,0.23,-0.13,-0.01,4.46,0.38,8.55,38.17,9.68,37.93,10.58,42.11,9.45,42.35,0,0.0,0,9,0x800,100,2290.0,1067.28,2260.78,58.44,71.98,1,2,2,92.296974,1,3,3,2260.777344,1031.883301,1097.044678,2260.780518,1031.291992,1103.27124,2319.218506,1031.167725,1103.499023,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.13,-1.38,8.99,37.5,8.99,37.5,-0.13,-1.38,-0.01,0.23,9.07,37.87,9.01,37.96,-0.13,-1.38,-0.01,0.23,0.0,0.0,0.0,0.0,0,0.209992,0.209992,0,0.0,0.0,0.0,
