frame_id,boundary_name,fValidLengthMeter,fDistanceMeter,fYawAngleRad,fCurvature,fCurvatureRate,lane_type,fCorrectedPitch,polynomial[0],polynomial[1],polynomial[2],polynomial[3],Unnamed: 13
1690794339999973,road_boundary_left,41.837017,2.209027,-0.022132,0.00113,0.0,1,-0.042983,-2.209027,0.022135,-0.000565,-0.0,
1690794340499931,ego_right,19.520941,-2.060726,0.006843,0.000639,0.0,1,-0.047058,2.060726,-0.006844,-0.000319,-0.0,
1690794340499931,ego_left,28.154898,1.143065,0.005023,0.000499,0.0,1,-0.047058,-1.143065,-0.005023,-0.00025,-0.0,
1690794340499931,adjacent_right,39.676102,-4.961676,-0.020936,0.000507,0.0,1,-0.047058,4.961676,0.020939,-0.000253,-0.0,
1690794340499931,road_boundary_left,48.421364,2.150828,-0.007389,0.000858,0.0,1,-0.047058,-2.150828,0.007389,-0.000429,-0.0,
1690794341000153,ego_right,20.665613,-1.984031,0.010559,0.000143,0.0,1,-0.045256,1.984031,-0.01056,-7.1e-05,-0.0,
1690794341000153,ego_left,27.134296,1.156072,0.006099,0.000362,0.0,1,-0.045256,-1.156072,-0.006099,-0.000181,-0.0,
1690794341000153,adjacent_right,41.306831,-4.798237,-0.003211,-0.00016,0.0,1,-0.045256,4.798237,0.003211,8e-05,-0.0,
1690794341000153,road_boundary_left,45.278889,2.057545,0.007618,8e-05,0.0,1,-0.045256,-2.057545,-0.007619,-4e-05,-0.0,
1690794341500157,ego_right,21.868679,-1.943393,0.013057,-0.000766,0.0,1,-0.047882,1.943393,-0.013058,0.000383,-0.0,
1690794341500157,ego_left,28.629698,1.172227,0.008915,0.000287,0.0,1,-0.047882,-1.172227,-0.008916,-0.000143,-0.0,
1690794341500157,adjacent_right,39.203506,-4.743243,-0.033797,0.001253,0.0,1,-0.047882,4.743243,0.03381,-0.000627,-0.0,
1690794341500157,road_boundary_left,46.31279,2.119423,0.010086,-3.2e-05,0.0,1,-0.047882,-2.119423,-0.010086,1.6e-05,-0.0,
1690794342000177,ego_right,21.014996,-1.889112,0.013158,-0.000937,0.0,1,-0.046316,1.889112,-0.013159,0.000468,-0.0,
1690794342000177,ego_left,25.09832,1.163622,0.009077,-0.00013,0.0,1,-0.046316,-1.163622,-0.009077,6.5e-05,-0.0,
1690794342000177,adjacent_right,37.651985,-4.782739,-0.027482,0.001604,0.0,1,-0.046316,4.782739,0.027489,-0.000802,-0.0,
1690794342000177,road_boundary_left,39.20723,2.090164,0.008537,-0.000389,0.0,1,-0.046316,-2.090164,-0.008537,0.000195,-0.0,
1690794342499841,ego_right,20.01235,-1.977799,0.009764,0.000218,0.0,1,-0.043497,1.977799,-0.009765,-0.000109,-0.0,
1690794342499841,ego_left,27.299301,1.178966,0.008865,-0.00031,0.0,1,-0.043497,-1.178966,-0.008865,0.000155,-0.0,
1690794342499841,adjacent_right,31.360695,-4.899689,-0.022885,0.001857,0.0,1,-0.043497,4.899689,0.022889,-0.000928,-0.0,
1690794342499841,road_boundary_left,39.778931,2.04278,0.004101,7e-06,0.0,1,-0.043497,-2.04278,-0.004101,-3e-06,-0.0,
1690794342999991,ego_right,20.700222,-1.95886,0.008749,-1.2e-05,0.0,1,-0.046905,1.95886,-0.008749,6e-06,-0.0,
1690794342999991,ego_left,28.686039,1.184221,0.005018,-0.000265,0.0,1,-0.046905,-1.184221,-0.005018,0.000132,-0.0,
1690794342999991,adjacent_right,33.515656,-4.874754,-0.019419,0.001356,0.0,1,-0.046905,4.874754,0.019422,-0.000678,-0.0,
1690794342999991,road_boundary_left,48.479805,1.991886,0.010467,-0.000449,0.0,1,-0.046905,-1.991886,-0.010467,0.000224,-0.0,
1690794343500239,ego_right,20.693653,-1.924526,0.009302,-0.000451,0.0,1,-0.044711,1.924526,-0.009303,0.000225,-0.0,
1690794343500239,ego_left,27.352539,1.17904,-5.7e-05,-4e-06,0.0,1,-0.044711,-1.17904,5.7e-05,2e-06,-0.0,
1690794343500239,adjacent_right,31.995241,-4.729751,-0.023402,0.001117,0.0,1,-0.044711,4.729751,0.023406,-0.000558,-0.0,
